gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Prrc2b,2.09E-05,-0.125446401,0.885,0.82,0.839189645,NO
2900026A02Rik,0.214298831,-0.125473309,0.61,0.473,1,NO
Dbr1,0.094735658,-0.125805481,0.304,0.245,1,NO
Hccs,0.046962592,-0.125840728,0.599,0.43,1,NO
Tbl1x,8.80E-06,-0.125992355,0.903,0.784,0.353962083,NO
Ywhab,3.93E-11,-0.12632108,0.998,0.98,1.58E-06,NO
Map1a,9.41E-07,-0.126334488,0.977,0.964,0.037857448,NO
Herc4,0.001164143,-0.126334788,0.838,0.718,1,NO
Pygo2,0.011116787,-0.126622908,0.617,0.462,1,NO
Snx2,0.000638695,-0.126901953,0.867,0.718,1,NO
Rnasek,2.07E-10,-0.127272265,0.986,0.946,8.33E-06,NO
Gm8291,0.002422417,-0.127304324,0.162,0.236,1,NO
Nbr1,2.66E-05,-0.127387064,0.939,0.802,1,NO
Phf3,0.000278874,-0.12760028,0.901,0.809,1,NO
Tada2b,0.059253737,-0.127771838,0.358,0.234,1,NO
Rnf187,9.42E-10,-0.127967716,0.993,0.95,3.79E-05,NO
Dusp26,0.006465213,-0.128015495,0.793,0.644,1,NO
Timm21,0.066813097,-0.128097499,0.421,0.304,1,NO
Tcf20,6.13E-07,-0.12813429,0.912,0.854,0.024638524,NO
Gmps,6.09E-05,-0.128232053,0.851,0.804,1,NO
Kat8,0.029582098,-0.128239152,0.61,0.532,1,NO
Zrsr1,0.016550863,-0.128245175,0.561,0.48,1,NO
Rhot1,4.19E-05,-0.128356819,0.937,0.863,1,NO
Trappc5,0.05955936,-0.128406868,0.556,0.387,1,NO
Fgf1,0.002138015,-0.128490356,0.779,0.664,1,NO
Gm18646,0.001826876,-0.128584206,0.313,0.333,1,NO
Vkorc1l1,0.004756072,-0.128661569,0.766,0.619,1,NO
Dhps,0.002609582,-0.128813466,0.755,0.644,1,NO
Ttll13,0.029297319,-0.128934918,0.273,0.25,1,NO
Cul4b,0.011840983,-0.128959264,0.649,0.5,1,NO
Gm2999,0.000205144,-0.128972125,0.327,0.333,1,NO
Reck,0.06752821,-0.12905272,0.444,0.367,1,NO
Zfp599,1.84E-16,-0.129228404,0.998,1,7.40E-12,NO
Gm8910,0.000210752,-0.129329592,0.536,0.473,1,NO
Pgam1-ps2,0.000501008,-0.129431817,0.2,0.273,1,NO
Gm30933,0.036233876,-0.129486725,0.155,0.151,1,NO
Ddi2,0.001101357,-0.129529301,0.736,0.577,1,NO
Ranbp3,0.003372029,-0.129646375,0.786,0.644,1,NO
Unc13c,0.169604104,-0.129921517,0.468,0.399,1,NO
Thoc2,2.97E-05,-0.129966781,0.953,0.874,1,NO
Cct4,3.89E-05,-0.129974118,0.896,0.795,1,NO
Micu1,0.000159618,-0.130034047,0.872,0.732,1,NO
Helz,0.000120562,-0.130171531,0.928,0.86,1,NO
Dennd1a,2.27E-06,-0.130175037,0.948,0.93,0.091124265,NO
Gm12786,0.150477027,-0.130198723,0.169,0.146,1,NO
Amotl1,0.09746223,-0.130219402,0.613,0.48,1,NO
Slc30a1,0.178419268,-0.13029009,0.365,0.261,1,NO
Pofut2,0.005503964,-0.13053432,0.734,0.547,1,NO
Mtcl1,7.41E-05,-0.130789916,0.883,0.777,1,NO
Polr2d,0.00984464,-0.130828151,0.559,0.378,1,NO
Bcl2,0.001208144,-0.130890712,0.696,0.595,1,NO
Nme7,0.002684328,-0.130983804,0.622,0.482,1,NO
Uba6,0.007460051,-0.131066246,0.802,0.725,1,NO
Cops2,0.00014328,-0.131087376,0.874,0.743,1,NO
2300009A05Rik,0.004586308,-0.131107973,0.676,0.507,1,NO
Agap2,0.001889346,-0.131244533,0.892,0.77,1,NO
Lrrc14,0.024813694,-0.131298513,0.475,0.381,1,NO
Zbtb26,0.057890495,-0.131427289,0.383,0.273,1,NO
Vps54,5.25E-05,-0.131503359,0.856,0.795,1,NO
Vti1a,1.73E-05,-0.131516066,0.919,0.836,0.69502529,NO
Golga3,0.018629066,-0.131542046,0.721,0.561,1,NO
Zfp719,0.092816622,-0.131669711,0.516,0.347,1,NO
Terf2,0.012345678,-0.131761849,0.741,0.61,1,NO
Pex16,0.007699505,-0.131766854,0.59,0.423,1,NO
Brca2,0.019036272,-0.13178696,0.637,0.574,1,NO
Topors,0.002431825,-0.131993305,0.66,0.459,1,NO
Jph3,0.00153218,-0.132007536,0.793,0.68,1,NO
Tiprl,2.22E-05,-0.132034134,0.887,0.773,0.890863056,NO
Cyb5r4,0.001174295,-0.13205716,0.822,0.669,1,NO
Gm12992,0.150613511,-0.132083431,0.162,0.133,1,NO
Zfp668,0.016908898,-0.132158456,0.586,0.423,1,NO
Mir7-1,0.063407193,-0.132207373,0.101,0.122,1,NO
Sf3b2,3.34E-10,-0.132242274,0.982,0.935,1.34E-05,NO
Pkp4,3.53E-06,-0.13225095,0.964,0.91,0.142141631,NO
Sesn2,0.024809086,-0.132314421,0.552,0.385,1,NO
Gorasp2,6.63E-05,-0.132390426,0.883,0.773,1,NO
Zfp770,0.029384487,-0.132409831,0.392,0.261,1,NO
Dhx16,0.012903659,-0.132577433,0.622,0.468,1,NO
Sgk1,3.08E-05,-0.132944201,0.896,0.833,1,NO
Aste1,0.150008655,-0.132989278,0.408,0.378,1,NO
Tmem138,0.021505594,-0.133015327,0.523,0.444,1,NO
Ica1l,0.001697013,-0.13305599,0.718,0.59,1,NO
Tpm1,6.91E-06,-0.133115477,0.928,0.858,0.277736047,NO
Usp46,0.001053309,-0.133125798,0.718,0.559,1,NO
Gpr150,0.158136896,-0.133161323,0.144,0.095,1,NO
Dtna,1.07E-07,-0.133271302,0.98,0.959,0.004322895,NO
Mpnd,2.51E-05,-0.133291325,0.86,0.68,1,NO
Ap2m1,1.55E-08,-0.133383976,0.998,0.941,0.000623471,NO
Bsdc1,0.000278266,-0.133518131,0.858,0.705,1,NO
AI597479,0.076175689,-0.133528073,0.468,0.336,1,NO
Atp8a2,7.25E-05,-0.133593174,0.944,0.903,1,NO
Mink1,1.36E-05,-0.133740538,0.908,0.784,0.546878499,NO
Ogdh,1.88E-06,-0.133760965,0.957,0.93,0.075740972,NO
Rab11b-ps1,0.093164059,-0.133855747,0.113,0.117,1,NO
Trappc10,0.000185342,-0.133946322,0.874,0.775,1,NO
Mocs2,0.002920645,-0.133951514,0.748,0.588,1,NO
Acbd5,0.000146564,-0.13398695,0.905,0.77,1,NO
H13,4.23E-05,-0.133988534,0.919,0.809,1,NO
Gdpd5,0.033268308,-0.134187744,0.34,0.288,1,NO
Axin1,0.006621523,-0.134466762,0.791,0.698,1,NO
Tssc4,0.013273888,-0.134663679,0.671,0.482,1,NO
Pdcd7,0.000637811,-0.134796184,0.698,0.55,1,NO
